Time,Lat,Lon,Alt,McIlwainL,MLT,kp,counts_s_0,counts_s_1,counts_s_2,counts_s_3,counts_s_4,counts_s_5,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,time_gap,saturated,n_zeros,r2_0,adj_r2_0,A_0,t0_0,fwhm_0,y_int_0,slope_0,r2_1,adj_r2_1,A_1,t0_1,fwhm_1,y_int_1,slope_1,r2_2,adj_r2_2,A_2,t0_2,fwhm_2,y_int_2,slope_2,r2_3,adj_r2_3,A_3,t0_3,fwhm_3,y_int_3,slope_3,r2_4,adj_r2_4,A_4,t0_4,fwhm_4,y_int_4,slope_4,r2_5,adj_r2_5,A_5,t0_5,fwhm_5,y_int_5,slope_5
2015-02-01 20:35:10.783500,73.24041207090286,173.08306284193532,637.1597198597283,11.072945327717862,6.292536473376879,43.0,7786.666666666667,4533.333333333334,3146.666666666667,693.3333333333334,160.0,106.66666666666669,11.369553189855218,7.38896659196781,9.100774722900097,1.6666666666666667,0.6298897789321865,1.2247448713915892,0,0,33,0.8219422092012392,0.7230212143130388,151.1271793185513,2015-02-01 20:35:10.775412713,0.01970392166977919,22268388.750334434,-300.4736749618496,0.8841283499584898,0.8197552110465396,74.04346328023136,2015-02-01 20:35:10.766948147,0.040838889019099656,12001973.86543964,-161.94599683363288,0.7359532209465818,0.589260565916905,40.007677955151856,2015-02-01 20:35:10.773387959,0.039226209511718055,5765192.617073622,-77.79135709266599,0.8843178385167514,0.8200499710260577,16.006318290494754,2015-02-01 20:35:10.753443698,0.05561710930850216,1213564.431372698,-16.374926068203187,0.731228773386603,0.5819114252680491,16.29828640224758,2015-02-01 20:35:10.735816569,0.01430118556684342,-138810.64238980587,1.8730297970072889,0.04528939502229801,-0.4851053855208698,-0.4013157274107379,2015-02-01 20:35:10.839197839,0.003328533893353986,69760.32632387924,-0.9412921876464007
2015-02-01 20:35:13.596000,73.09657630869809,172.7483946884222,637.4176042093457,10.839291890867509,6.287789076001555,43.0,7146.666666666667,4213.333333333334,1653.3333333333337,373.33333333333337,480.0,53.333333333333336,11.059405027416238,6.9895696620228085,3.249711651033535,0.1825741858350553,3.993726823848225,0.6054055145966811,0,0,0,0.892128119549913,0.8321992970776424,100.8796357235704,2015-02-01 20:35:13.591330752,0.02150934370374497,22177734.826764237,-299.2391477902982,0.9220389562895659,0.8787272653393248,174.8946294647149,2015-02-01 20:35:13.586930825,0.013162148197035007,19320359.05464708,-260.6853277387223,0.8988976569143374,0.8427296885334138,106.46985612846692,2015-02-01 20:35:13.586464814,0.011444482799717477,7479306.300905029,-100.91658280430164,0.7778372894335701,0.6544135613411091,9.127609458335987,2015-02-01 20:35:13.566805796,0.04152478692366129,2238349.542397492,-30.201533380946472,0.6923425817351935,0.521421793810301,7.040357874649347,2015-02-01 20:35:13.598126798,0.016729492498093024,977051.4706254556,-13.183135055429242,0.36890223896487706,0.018292371723142242,-0.7596003380098977,2015-02-01 20:35:13.554871442,0.03714963922035661,291893.2499935257,-3.9384515914412828
2015-02-01 22:11:54.148750,70.28700788803337,143.35820586275986,642.4636410430315,7.099322477902702,6.615309098550933,50.0,31626.666666666668,19306.666666666668,4640.0,746.6666666666667,106.66666666666669,0.0,18.575772557910355,16.935597598421797,6.916211316224341,2.6348259320698384,0.8868008299204657,-0.1432229748078866,1,0,0,0.9334347800769964,0.8964541023419944,284.9249760339204,2015-02-01 22:11:54.145530759,0.044095901533694706,-167806624.89666116,2099.8401275362694,0.9265639853036853,0.8857661993612883,190.73734884880272,2015-02-01 22:11:54.146953777,0.03472495987443938,-104122623.85368697,1302.9332081598345,0.8692375042413238,0.7965916732642815,31.09736544493826,2015-02-01 22:11:54.204324917,0.14548791314572418,-24202367.885514006,302.85511893948836,0.6560720930774255,0.4650010336759952,3.4505672004006236,2015-02-01 22:11:54.236244636,0.21378200968222436,-3519770.609862468,44.04449396005014,0.23520077562998565,-0.18968768235335576,23.07510817059424,2015-02-01 22:11:53.971941407,0.45809589159762326,-5194902.481751042,65.00586866997114,0.2572371194901719,-0.15540892523751038,-0.2598950203947078,2015-02-01 22:11:54.186614956,0.08782650708846786,-127275.26153395197,1.592651804062309
2015-02-01 22:11:54.205000,70.28457766386202,143.35420989982504,642.4674845813224,7.097601850775368,6.615194074614012,50.0,28853.333333333336,17706.666666666668,5653.333333333334,1013.3333333333334,106.66666666666669,0.0,12.899353072269957,12.51462668038797,8.596934124412012,4.242640687119285,0.7414672991144711,-0.1092535561093844,1,0,0,0.7391536690696414,0.5942390407749978,2577.4615707931584,2015-02-01 22:11:54.101710285,0.43517117652443266,-508173540.7263791,6358.968064464537,0.6785653813505881,0.4999905932120259,6360.972800644516,2015-02-01 22:11:54.196436381,1.1373524125855001,-49715474.68163974,622.0349355842021,0.7354995905042223,0.5885549185621236,138.0969344010099,2015-02-01 22:11:54.229251,0.24277031184574446,5040521.740531205,-63.07468165171003,0.541401052956866,0.286623860155125,50.405504302939946,2015-02-01 22:11:54.266477840,0.3638653485385891,7002237.626472435,-87.62234091128786,0.18191359979720967,-0.272578844759896,4.624751508304491,2015-02-01 22:11:54.078167013,0.34430681426284576,-1030750.2646752975,12.898187005905998,0.533253085169683,0.27394924359728456,0.30802799289300375,2015-02-01 22:11:54.261034861,0.01414588888919088,-45665.33673939612,0.5714301346707641
2015-02-01 22:11:54.280000,70.2805274826951,143.34755255279742,642.4738893852431,7.094736524473241,6.615002423979746,50.0,28853.333333333336,17120.0,5280.0,906.6666666666669,106.66666666666669,0.0,11.282129685790744,10.708449406614008,7.030364440582257,3.2790924891572595,0.5765566601970552,-0.1432229748078866,1,0,0,0.7578605186784846,0.623338584610976,-258.2069865571959,2015-02-01 22:11:54.312864649,0.022042837998616845,58228101.82903592,-728.6262565598031,0.5736552795325709,0.33679710149511033,116.20376530228828,2015-02-01 22:11:54.266507858,0.04100887864007641,29851842.72802511,-373.545489402097,0.5626286221225296,0.3196445233017128,46.70730707236461,2015-02-01 22:11:54.237919966,0.08112147417894355,2906603.9119097027,-36.37084502821641,0.5478544037843095,0.2966624058867037,10.825642370910732,2015-02-01 22:11:54.261428815,0.04185205077600629,1426505.1079439104,-17.850341920362997,0.1617860627484422,-0.3038883468357565,-0.3463689947567057,2015-02-01 22:11:54.267385616,0.17527288866936916,286530.2052846846,-3.585454185704614,0.11503181674296092,-0.3766171739553943,583.2536161130187,2015-02-01 22:11:54.280196034,12.942868079957828,-122061.71170605595,1.5201128188222153
2015-02-01 22:12:10.705000,69.38864087975986,141.94685962012227,643.8609236828714,6.481399343989706,6.578469449152662,50.0,30506.666666666668,20746.666666666668,7680.0,2400.0,160.0,53.333333333333336,12.031275493645342,11.12659620590756,6.4235750431788405,4.210932733515436,-0.4472135954999579,0.236524958395633,0,0,0,0.21743393508060338,-0.2173249898746168,324.7850707306062,2015-02-01 22:12:10.654767546,0.12092588146772129,-73042507.08285648,913.8254779364975,0.5359364507143172,0.27812336777782676,295.31010161251345,2015-02-01 22:12:10.688444137,0.05838020343443445,-17897304.86743934,223.91233421980382,0.47685762309128,0.18622296925310222,112.30988644269533,2015-02-01 22:12:10.693480022,0.060082514348264164,-2240082.6361592375,28.026125486071376,0.5766953732438146,0.34152613615704497,71.57588343920938,2015-02-01 22:12:10.715368323,0.016753931049792236,1308635.2682020802,-16.371873837365662,0.2664034944633522,-0.14115011972367442,8.414253275344478,2015-02-01 22:12:10.679079475,0.016500048488676068,-551246.0246275929,6.896588090411784,0.17249465635052885,-0.28723053456584413,1.1026133625342072,2015-02-01 22:12:10.643171032,0.11367717043680857,-217659.2360695018,2.723101034868669
2015-02-01 22:12:18.242500,68.97589933560376,141.33971536157603,644.4875463609618,6.224696567526973,6.562580566330539,50.0,34666.66666666667,33013.333333333336,17280.0,6240.0,1440.0,373.33333333333337,10.059030316541,11.27626733668774,7.182195233926197,4.339400890617138,2.895369407485945,2.08802847427133,0,0,4,0.7619916716411006,0.6297648225528232,2760.9993951394654,2015-02-01 22:12:18.378448105,0.37993769786207154,807842442.6208341,-10105.848453261726,0.7028853386777567,0.5378216379431771,3554.070948971552,2015-02-01 22:12:18.379053543,0.40875663410085916,907661401.9627526,-11354.557902448783,0.6238212981650875,0.4148331304790249,1889.70672015096,2015-02-01 22:12:18.363271582,0.36924279706264107,492861445.25926644,-6165.540744278387,0.7382448398354893,0.5928253064107611,126.4417165487451,2015-02-01 22:12:18.284984023,0.05249109254455667,24612601.47981951,-307.89425139789546,0.7197050153951707,0.5639855795035988,25.041182208349248,2015-02-01 22:12:18.278781410,0.06321624819166087,4810287.8680291325,-60.17487719727684,0.155728280393284,-0.3133115638326691,2694.6431284811697,2015-02-01 22:12:18.263346183,8.603830756953476,988252.8540488784,-12.396360325741664
2015-02-01 22:12:18.298750,68.97260937454509,141.33497360693127,644.4925034345847,6.222785174031305,6.562438745040307,50.0,32693.333333333336,37120.0,23840.0,8426.666666666668,1760.0,213.3333333333333,11.3953860729335,18.36108587323587,17.914437045739515,10.51041206504983,5.1040855255069,0.7524429471734277,0,0,4,0.8903858085713018,0.8294890355553584,283.61374263062146,2015-02-01 22:12:18.300685746,0.09589668245494579,224972614.82633662,-2814.3244964676855,0.8918848548199552,0.8318208852754858,340.2539847450946,2015-02-01 22:12:18.291825158,0.07316011797589277,208793485.67314935,-2611.9293724260056,0.879353127065621,0.8123270865465215,259.0307127460625,2015-02-01 22:12:18.293950544,0.05904770963120177,117095313.51741669,-1464.8190471546977,0.90571489464578,0.8533342805601023,125.4840521237022,2015-02-01 22:12:18.286953827,0.052642767570378154,38646127.3339879,-483.44874492605516,0.8612661120965774,0.7841917299280093,24.45278988883298,2015-02-01 22:12:18.281099725,0.06175915286194401,7191096.822356933,-89.95795904050324,0.5384974705644712,0.2821071764336218,5.675124730949677,2015-02-01 22:12:18.285915417,0.019221331069796715,1166300.074183492,-14.589975396268168
2015-02-01 22:12:18.598750,68.9561600764603,141.31128826923214,644.5172791653106,6.2132377365641815,6.561730147011696,50.0,31626.666666666668,24480.0,10826.666666666668,4746.666666666667,1013.3333333333334,426.6666666666667,11.245050236874215,8.778841734259755,3.663069215867788,4.377528281638148,2.009707326683052,3.169495442095802,0,0,4,0.9182189495106006,0.8727850325720453,468.13255700007255,2015-02-01 22:12:18.579627562,0.14714201079179745,-217878423.97351673,2725.574650138766,0.92253322113492,0.8794961217654311,409.7768559254948,2015-02-01 22:12:18.587557299,0.16607431393202943,-170900200.86774713,2137.894926895208,0.8785383758992691,0.8110596958433075,210.97582503594637,2015-02-01 22:12:18.596429566,0.19824559526925034,-83690653.33775023,1046.937250258527,0.8595022110621966,0.781447883874528,61.75058350272279,2015-02-01 22:12:18.598291285,0.15126925082062792,-29913793.159775503,374.21002534123863,0.8492536733188767,0.765505714051586,16.93900955068055,2015-02-01 22:12:18.620111758,0.1826935217018909,-4351665.347654957,54.437636363496544,0.7700488120987132,0.6422981521535539,6.0206686913635385,2015-02-01 22:12:18.612015074,0.0722941624643545,-419726.6323814125,5.250628085509981
2015-02-01 22:12:18.655000,68.95369238263596,141.30773829848022,644.5209947003199,6.211806165891774,6.5616239143172415,50.0,35360.0,30026.666666666668,14720.0,6400.0,1013.3333333333334,106.66666666666669,11.464478696394924,11.532936193852562,7.490528982241513,7.131951028502902,1.4805748936245768,-0.3236453576250939,0,0,4,0.5718249071445551,0.3339498555581968,4035.248193809612,2015-02-01 22:12:18.471801073,0.5097439080566017,-817284772.0992718,10223.871826008366,0.5096566235403234,0.23724363661828074,535456.5707653521,2015-02-01 22:12:18.636935638,11.757881752031034,-45060793.31771462,557.0004288222736,0.47851228543282254,0.18879688845105724,508122.76504311623,2015-02-01 22:12:18.652735790,14.98452657716601,-20243528.27226765,246.88532114725362,0.46264708928569775,0.16411769444441882,388.85135462886956,2015-02-01 22:12:18.524145608,0.49455604105617657,-76390506.11482982,955.6113231364936,0.5071259220157613,0.23330698980229547,23317.700271131176,2015-02-01 22:12:18.644599743,10.164587706300821,-2494638.983736894,30.915488760740743,0.6744173487259838,0.49353809801819704,5.62416350573948,2015-02-01 22:12:18.613036644,0.062301932269501877,-114856.2348147979,1.4368289709777566
