Time,Col_counts0,Col_counts1,Col_counts2,Col_counts3,Col_counts4,Col_counts5,Baseline_col_counts0,Baseline_col_counts1,Baseline_col_counts2,Baseline_col_counts3,Baseline_col_counts4,Baseline_col_counts5,McIlwainL,MLT,Lat,Lon,Loss_cone_type,kp,E0,J0,Flag (0=good),counts_0,counts_1,counts_2,counts_3,counts_4,count_difference_0,count_difference_1,count_difference_2,count_difference_3,count_difference_4,integral_E0,integral_J0,integral_Flag (0=good),integral_counts_0,integral_counts_1,integral_counts_2,integral_counts_3,integral_counts_4,integral_count_difference_0,integral_count_difference_1,integral_count_difference_2,integral_count_difference_3,integral_count_difference_4,background_E0,background_J0,background_Flag (0=good),background_counts_0,background_counts_1,background_counts_2,background_counts_3,background_counts_4,background_count_difference_0,background_count_difference_1,background_count_difference_2,background_count_difference_3,background_count_difference_4,background_integral_E0,background_integral_J0,background_integral_Flag (0=good),background_integral_counts_0,background_integral_counts_1,background_integral_counts_2,background_integral_counts_3,background_integral_counts_4,background_integral_count_difference_0,background_integral_count_difference_1,background_integral_count_difference_2,background_integral_count_difference_3,background_integral_count_difference_4,aj_response,ms_response,campaign,mageis_a_t,mageis_a_E0,mageis_a_J0,mageis_a_E0_standard_deviation,mageis_a_J0_standard_deviation,mageis_a_L,mageis_a_MLT,mageis_b_t,mageis_b_E0,mageis_b_J0,mageis_b_E0_standard_deviation,mageis_b_J0_standard_deviation,mageis_b_L,mageis_b_MLT,directional_mageis_a_t,directional_mageis_a_E0,directional_mageis_a_J0,directional_mageis_a_E0_standard_deviation,directional_mageis_a_J0_standard_deviation,directional_mageis_a_L,directional_mageis_a_MLT,directional_mageis_b_t,directional_mageis_b_E0,directional_mageis_b_J0,directional_mageis_b_E0_standard_deviation,directional_mageis_b_J0_standard_deviation,directional_mageis_b_L,directional_mageis_b_MLT,AE,Obrien_plasmapause_L,DST,Mirror_altitude
2015-02-02 04:35:39.211500,12160.0,3786.666666666667,640.0,160.0,0.0,0.0,1253.3333333333335,480.0,106.66666666666669,0.0,0.0,0.0,6.609231123926961,8.440642633614061,68.18273313792857,44.52379766973172,2.0,47.0,46.85950000000023,8358.340000000024,0,228.0,71.0,12.0,3.0,0.0,-0.18366771325574405,0.9478405650220196,-2.6920221919278493,-2.472963518022743,0.007193823037058355,54.570500000000095,2985.0100000000093,0,178.15,68.35,14.85,2.4,0.25,-0.28506954681807883,1.192781121075086,-2.4956313008887605,-1.3295108504216249,-0.2231476024348128,46.37820000000083,8694.070000000089,0,224.0,68.5,12.0,3.0,0.0,-0.2064100375243072,1.0862742349460888,-3.2036169298999937,-2.5171576857042326,0.006303604660038104,54.15400000000015,3026.070000000017,0,174.15,65.85,14.85,2.4,0.0,-0.33684030927778963,1.4290466880878938,-3.0745762231036466,-1.3998882854057464,0.024380869800791332,1,1,1,2015-02-02 01:08:08.610,106.73620651551829,29795.589858356958,4.593866206578479,3049.303092034098,6.5215086936950675,23.041675567626953,2015-02-02 00:42:02.145,108.25058997403104,29859.099680033043,4.117434674893911,2791.053057066826,6.55019998550415,22.76830291748047,2015-02-02 01:08:08.610,-1.0,-1.0,-1.0,-1.0,6.521508565000187,23.041675424250982,2015-02-02 00:42:02.145,-1.0,-1.0,-1.0,-1.0,6.5502,22.768302174000002,661.0,3.745283882108014,,519.1530733647174
2015-02-02 04:36:02.030250,32640.0,28960.0,14026.666666666668,6133.333333333334,1173.3333333333335,160.0,5626.666666666668,3600.0,1306.6666666666667,346.66666666666674,133.33333333333334,0.0,5.967457398342132,8.307890707040727,66.9154998744076,42.92262574682354,2.0,47.0,125.36400000000047,661.2529999999953,0,612.0,543.0,263.0,115.0,22.0,11.408229032752276,-23.60616361548466,19.34364212038179,-3.2543811934330336,2.094248663009612,132.54800000000023,531.1759999999987,0,562.4705882352941,489.29411764705884,277.8235294117647,113.76470588235294,26.823529411764714,2.364413199081696,-3.253319039270252,-0.676532144795658,3.4763911557831904,0.9324125690048852,131.71100000000013,259.1179999999996,0,247.0,279.0,105.0,51.0,6.5,24.87369439535172,-45.88936876908196,27.219643309367736,4.520060348909965,6.5081644132185765,150.16600000000008,158.19800000000015,0,197.47058823529412,225.29411764705884,119.8235294117647,49.764705882352935,11.323529411764708,18.321785333012887,-26.892148828828965,4.97096683132034,10.825103404679249,6.0672854786191825,2,2,1,2015-02-02 02:34:16.227,124.90336364528257,54442.378326862,6.959267759755206,6354.041563308792,5.968181610107423,0.2842090725898743,2015-02-02 02:10:57.624,117.57847588875009,58240.253560049925,8.626412144272503,9812.642526483914,5.966826915740968,0.01802016049623489,2015-02-02 02:34:16.227,113.437588830667,29652.25774475501,7.765974025010526,4592.165590370593,5.968181696,0.28420906965000003,2015-02-02 02:10:57.624,97.87336214102726,38961.63109095643,7.733590812181518,8235.241523016175,5.966827077664442,0.018020160011046872,637.0,3.745283882108014,,469.03588216156385
2015-02-02 04:36:02.199000,30240.0,26826.66666666667,16213.333333333336,5920.0,1066.6666666666667,106.66666666666669,5626.666666666668,3600.0,1306.6666666666667,346.66666666666674,133.33333333333334,0.0,5.962985605875706,8.306912791599395,66.90628870129632,42.91161461054071,2.0,47.0,135.76800000000023,512.3989999999986,0,567.0,503.0,304.0,111.0,20.0,5.830249914616729,-3.4412101095427943,-13.447122143191507,15.362284565523195,11.098837255354875,-1.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,2015-02-02 02:34:38.124,123.32426754513763,58226.939119778464,6.6768350404438825,6669.935609586162,5.963393688201903,0.29011285305023193,2015-02-02 02:11:19.270,114.72276140886517,63688.46428369833,8.537553575859564,11104.183618245026,5.961973667144775,0.023778066039085388,2015-02-02 02:34:38.124,129.21211776505513,23423.900781022487,2.754422260771476,1018.458352121501,5.963393552,0.2901128658,2015-02-02 02:11:19.270,83.23439581816362,57033.247455979785,6.941185276133911,12784.433109815742,5.96197388619061,0.023778066755347237,637.0,3.745283882108014,,468.67851138395014
2015-02-02 04:36:02.424000,29653.333333333336,24800.0,14186.666666666668,5866.666666666668,1440.0,160.0,16026.666666666668,13626.666666666668,6746.666666666668,2613.333333333333,586.6666666666667,0.0,5.956505302793214,8.305579921369935,66.89372649307472,42.896611186299204,2.0,47.0,129.87700000000038,542.9849999999976,0,556.0,465.0,266.0,110.0,27.0,-3.0676255368670127,5.313524762773795,-2.384010032413812,-1.1213047378618055,-2.075223992622483,-1.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,2015-02-02 02:35:10.969,122.20948269393774,60694.928288266885,6.96602455997075,7372.683118675605,5.9561805725097665,0.2989790141582489,2015-02-02 02:11:40.915,117.4146141354343,62978.84670281576,8.782735202808162,10830.622374624973,5.9571146965026855,0.029538162052631375,2015-02-02 02:35:10.969,128.0217786982507,23456.228039259546,13.946437702883422,5249.606497642771,5.956180366183642,0.29897902896979545,2015-02-02 02:11:40.915,104.40176139749286,27243.703792252207,6.937493671751577,3982.0117830670647,5.957114583057888,0.029538162755359733,637.0,3.745283882108014,,468.1873548283483
2015-02-02 04:36:08.199000,31573.333333333336,29066.66666666667,18826.666666666668,9066.666666666668,2400.0,160.0,20826.666666666668,15946.666666666668,9253.333333333334,4026.666666666667,720.0,53.33333333333334,5.807348999054277,8.273428308543224,66.57090902872056,42.51636160765339,2.0,47.0,152.1990000000001,422.9769999999994,0,592.0,545.0,353.0,170.0,45.0,-0.2805618333009079,2.669057101121325,-5.096224200255335,1.2897955203678748,5.129914313857399,138.8440000000003,461.8989999999996,0,539.1428571428571,481.4285714285714,276.14285714285717,130.85714285714286,31.142857142857146,1.411623647129204,-4.228880121016972,6.46757730857655,-4.797865356211176,1.0007300032477566,185.65100000000027,100.61760000000008,0,183.5,217.0,145.5,83.0,24.0,14.420279351554283,-16.824986397915918,-0.3998355056864682,3.300563655177968,8.762571447030304,152.37800000000112,101.5117000000012,0,130.64285714285708,153.42857142857144,68.64285714285717,43.85714285714286,10.142857142857142,11.677630867880369,-21.62693981414722,15.155243919506885,-2.549197338816328,1.966809052382397,1,2,1,2015-02-02 02:45:45.972,118.21776398763477,72672.34163910232,9.619859521422981,12939.867516303644,5.807161331176758,0.4740996360778809,2015-02-02 02:22:08.617,159.50118623810485,32148.218562371774,5.414166668263153,1980.2004084092632,5.807234287261963,0.200274258852005,2015-02-02 02:45:45.972,105.09068491347466,42599.84178436863,2.097621770585259,2048.0734147157737,5.807161282,0.474099625,2015-02-02 02:22:08.617,146.41900455569797,14092.63507759324,8.198324934873996,1311.9060839798765,5.807234152636179,0.20027426189618985,637.0,3.745283882108014,,455.6337653415542
2015-02-02 04:36:30.024000,33013.333333333336,33333.333333333336,19840.0,8373.333333333334,1653.3333333333335,213.33333333333331,19440.0,16266.666666666668,9200.0,4533.333333333334,986.6666666666667,106.66666666666669,5.28655729733165,8.156415391029187,65.34442036809112,41.15908142635999,2.0,47.0,148.66000000000008,482.3479999999996,0,619.0,625.0,372.0,157.0,31.0,26.495105926103633,-34.51429914355981,-3.3575792544131104,20.09842779073273,19.088134761625827,146.5690000000001,434.09399999999937,0,558.1904761904761,525.3333333333334,311.4761904761905,149.80952380952382,37.047619047619044,7.16787213995292,-11.857050770322076,5.692142644386762,0.28808104140236424,4.523962737258287,151.35700000000014,234.47500000000028,0,296.5,337.0,191.0,72.0,12.0,28.129614543836396,-37.358529280739496,-1.425796669768857,20.80187494392112,14.943326378350976,147.9190000000001,184.1250000000001,0,235.69047619047612,237.33333333333337,130.47619047619048,64.8095238095238,18.04761904761905,8.372555074780365,-14.631972989299355,8.037917999462136,1.3832588973902205,0.5362177643246753,1,1,1,2015-02-02 03:15:41.499,142.14617818568146,48075.47288931415,7.4250719094542195,4762.656134418171,5.287899971008301,1.0157796144485474,2015-02-02 02:51:43.502,141.68792144312476,58231.859588944004,10.080975659737843,8215.382754242311,5.288339138031006,0.7305478453636169,2015-02-02 03:15:41.499,-1.0,-1.0,-1.0,-1.0,5.2878999125,1.0157796418,2015-02-02 02:51:43.502,113.50589170686912,39622.362730958266,6.244522566498738,4463.366016916144,5.288339087,0.7305478450666667,637.0,3.745283882108014,,408.865205052949
2015-02-02 04:36:43.280250,24266.66666666667,23200.0,16693.333333333336,8586.666666666668,2826.666666666667,426.66666666666674,22000.0,20480.0,12906.666666666668,6933.333333333334,1973.333333333333,160.0,5.0031097445992945,8.088688835720559,64.59463672988902,40.3912700091296,2.0,47.0,169.67500000000018,267.1089999999986,0,455.0,435.0,313.0,161.0,53.0,-1.5010069978171146,6.563277616589461,-10.555247757609154,4.766556594724676,3.27683431222961,161.18600000000015,289.373999999999,0,449.0,436.0,264.0,158.0,54.0,0.3888857852813317,-8.496058038090382,18.86191852039906,-10.441463279889264,-7.206905479357167,154.7140000000002,21.268099999999983,0,30.0,27.0,26.0,0.0,7.0,0.6703061576437293,1.6150156327137886,-7.605406147970296,9.210093797670591,-4.2408268402381175,96.695000000002,55.97900000000327,1,24.0,28.0,0.0,0.0,8.0,3.6134464033734375,-8.705048789703731,8.087711740137637,2.237228231461365,-7.708803742522634,2,2,1,2015-02-02 03:29:22.623,144.8387274129527,45468.223989550126,7.896399208895775,4635.6628598762345,5.002047538757324,1.2940657138824463,2015-02-02 03:05:15.186,162.85559419233266,44072.15480020227,4.492566691261544,2172.8677475297345,5.00391149520874,1.0040576457977295,2015-02-02 03:29:22.623,-1.0,-1.0,-1.0,-1.0,5.002047359,1.29406567315,2015-02-02 03:05:15.186,130.92119422114698,23692.896503720553,11.074874730849102,3644.3820404367025,5.003911304,1.0040576084000001,637.0,3.745283882108014,,380.9476951577292
2015-02-02 04:36:43.636500,27146.66666666667,23146.66666666667,15253.333333333336,9173.333333333334,2613.333333333333,426.66666666666674,21920.0,20026.666666666668,12560.0,6826.666666666668,1786.666666666667,160.0,4.99530026700951,8.086780441129463,64.57423578476042,40.37097973090568,2.0,47.0,155.50200000000018,336.00599999999963,0,509.0,434.0,286.0,172.0,49.0,-19.911776760244837,23.433928910337162,9.125046413486698,-23.467160549454746,-4.182064825686183,156.96200000000013,306.8319999999997,0,457.8235294117647,425.2352941176471,270.1764705882353,146.05882352941177,49.647058823529406,-3.5204824410911333,1.5725724766688245,7.027188133946653,-5.222339704746673,-6.5909573917040225,156.11900000000009,331.95699999999937,0,506.0,433.5,286.0,172.0,49.0,-19.293583720724822,22.5735426563906,9.080081972494838,-22.89315949356117,-3.757747302305482,157.5990000000001,303.0249999999994,0,454.8235294117647,424.7352941176471,270.1764705882353,146.05882352941177,49.647058823529406,-2.848885331570841,0.7048306220028735,6.931421609977293,-4.697110204536756,-6.185844047822442,2,2,1,2015-02-02 03:29:44.520,146.81202409355106,44123.21383383296,7.275983413704656,4048.394227321282,4.994010925292969,1.3018182516098022,2015-02-02 03:05:36.830,159.1852967580012,46212.47813868397,5.004344247163563,2640.09711619481,4.995917320251465,1.0116921663284302,2015-02-02 03:29:44.521,-1.0,-1.0,-1.0,-1.0,4.994010793,1.30181866005,2015-02-02 03:05:36.830,112.3937991466902,35153.88893337616,13.847234928123246,8942.638063396085,4.995917453333333,1.011692168666667,637.0,3.745283882108014,,380.19268923254606
2015-02-02 06:11:11.748750,21760.0,11733.333333333336,3626.666666666667,746.6666666666667,0.0,0.0,9813.333333333334,5013.333333333334,1680.0,320.0,0.0,0.0,7.259516685880572,8.994995569912259,68.99187287685578,21.714190923685237,2.0,40.0,73.17940000000004,2008.88,0,408.0,220.0,68.0,14.0,0.0,-0.9613619773842856,2.7539127041755487,-2.9169567795487983,-2.9781260044704614,0.7167749959868098,75.39060000000008,1530.67,0,344.38095238095235,196.28571428571428,56.047619047619044,12.857142857142858,1.619047619047619,0.5786190245605098,-1.8961167210738663,3.2584668112088835,-2.2081899298269683,-0.8666604755148715,67.36080000000005,1811.42,0,269.5,132.0,39.0,6.0,0.0,-0.8843960946059042,2.9009590671439582,-4.2843184331866695,-1.0473152431224246,0.2525627086384015,69.50930000000011,1232.1249999999998,0,205.8809523809524,108.28571428571428,27.04761904761905,4.8571428571428585,0.0,0.3636276769379663,-1.1970463287229762,1.9026853796640424,-0.4429491092738651,0.247374727101014,1,1,1,2015-02-02 10:09:55.292,95.52274576849399,18590.69904364476,3.6445755026593267,1851.577543768328,6.4108567237854,0.2334108352661133,2015-02-02 09:46:57.946,114.42612545914132,14898.554016802442,7.258796201696607,2218.928814548782,6.424229145050049,0.0106337433680892,2015-02-02 10:09:55.292,-1.0,-1.0,-1.0,-1.0,6.410856861332924,0.2334108282212016,2015-02-02 09:46:57.946,-1.0,-1.0,-1.0,-1.0,6.424228973,0.010633743385550306,382.0,3.745283882108014,,450.3289975434584
2015-02-02 06:11:44.692500,33440.0,25600.0,12533.333333333336,3466.666666666667,480.0,160.0,17653.333333333336,12560.0,5333.333333333334,1546.666666666667,186.66666666666669,0.0,6.295154290515917,8.751948287500941,67.17117712155857,19.296931722941736,2.0,40.0,110.50500000000206,890.4999999999781,1,627.0,480.0,235.0,65.0,9.0,-2.4125639157273326,0.3873449410046419,-2.9751663275071683,12.972365160167671,4.3547231232530335,108.44100000000203,805.829999999978,1,543.0,407.9,191.1,61.6,8.8,-3.835143173540701,1.5063666714190733,2.93242070733325,1.9262167320739183,1.6877531055781052,121.94800000000014,349.82599999999894,0,305.5,257.5,145.5,34.5,4.0,4.498614077066293,-3.495930393733687,-10.78727641392672,17.020882672814597,6.586510656649326,122.32300000000014,250.54500000000007,0,221.5,185.4,101.6,31.1,3.8000000000000007,2.0710661886142248,-1.8682439880519723,-3.9923190228611816,6.374026041811738,3.941953319751669,2,2,1,2015-02-02 09:29:13.791,136.23887898307785,12251.891805593128,5.485237077697873,966.0727207297915,6.294817924499513,23.775352478027344,2015-02-02 09:03:29.705,139.47742503120986,14571.240483673419,7.218262165787522,1513.3965641960278,6.294860363006593,23.512636184692386,2015-02-02 09:29:13.791,-1.0,-1.0,-1.0,-1.0,6.2948178465,23.775353349499998,2015-02-02 09:03:29.705,-1.0,-1.0,-1.0,-1.0,6.2948604020547405,23.51263684001912,382.0,3.745283882108014,,347.31413339144285
